Date,High,Low,Open,Close,Volume,Adj Close
2001-03-15,1182.04003906,1166.70996094,1166.70996094,1173.56005859,1259500000,1173.56005859
2001-03-16,1173.56005859,1148.64001465,1173.56005859,1150.5300293,1543560000,1150.5300293
2001-03-19,1173.5,1147.18005371,1150.5300293,1170.81005859,1126200000,1170.81005859
2001-03-20,1180.56005859,1142.18994141,1170.81005859,1142.61999512,1235900000,1142.61999512
2001-03-21,1149.39001465,1118.73999023,1142.61999512,1122.14001465,1346300000,1122.14001465
2001-03-22,1124.27001953,1081.18994141,1122.14001465,1117.57995605,1723950000,1117.57995605
2001-03-23,1141.82995605,1117.57995605,1117.57995605,1139.82995605,1364900000,1139.82995605
2001-03-26,1160.02001953,1139.82995605,1139.82995605,1152.68994141,1114000000,1152.68994141
2001-03-27,1183.34997559,1150.95996094,1152.68994141,1182.17004395,1314200000,1182.17004395
2001-03-28,1182.17004395,1147.82995605,1182.17004395,1153.29003906,1333400000,1153.29003906
2001-03-29,1161.68994141,1136.26000977,1153.29003906,1147.94995117,1234500000,1147.94995117
2001-03-30,1162.80004883,1143.82995605,1147.94995117,1160.32995605,1280800000,1160.32995605
2001-04-02,1169.51000977,1137.51000977,1160.32995605,1145.86999512,1254900000,1145.86999512
2001-04-03,1145.86999512,1100.18994141,1145.86999512,1106.45996094,1386100000,1106.45996094
2001-04-04,1117.5,1091.98999023,1106.45996094,1103.25,1425590000,1103.25
2001-04-05,1151.4699707,1103.25,1103.25,1151.43994141,1368000000,1151.43994141
2001-04-06,1151.43994141,1119.29003906,1151.43994141,1128.43005371,1266800000,1128.43005371
2001-04-09,1146.13000488,1126.38000488,1128.43005371,1137.58996582,1062800000,1137.58996582
2001-04-10,1173.92004395,1137.58996582,1137.58996582,1168.38000488,1349600000,1168.38000488
2001-04-11,1182.23999023,1160.26000977,1168.38000488,1165.89001465,1290300000,1165.89001465
2001-04-12,1183.51000977,1157.72998047,1165.89001465,1183.5,1102000000,1183.5
2001-04-16,1184.64001465,1167.38000488,1183.5,1179.68005371,913900000,1179.68005371
2001-04-17,1192.25,1168.90002441,1179.68005371,1191.81005859,1109600000,1191.81005859
2001-04-18,1248.42004395,1191.81005859,1191.81005859,1238.16003418,1918900000,1238.16003418
2001-04-19,1253.70996094,1233.39001465,1238.16003418,1253.68994141,1486800000,1253.68994141
2001-04-20,1253.69995117,1234.41003418,1253.69995117,1242.97998047,1338700000,1242.97998047
2001-04-23,1242.97998047,1217.4699707,1242.97998047,1224.35998535,1012600000,1224.35998535
2001-04-24,1233.54003906,1208.89001465,1224.35998535,1209.4699707,1216500000,1209.4699707
2001-04-25,1232.35998535,1207.38000488,1209.4699707,1228.75,1203600000,1228.75
2001-04-26,1248.30004883,1228.75,1228.75,1234.52001953,1345200000,1234.52001953
2001-04-27,1253.06994629,1234.52001953,1234.52001953,1253.05004883,1091300000,1253.05004883
2001-04-30,1269.30004883,1243.98999023,1253.05004883,1249.45996094,1266800000,1249.45996094
2001-05-01,1266.4699707,1243.55004883,1249.45996094,1266.43994141,1181300000,1266.43994141
2001-05-02,1272.93005371,1257.69995117,1266.43994141,1267.43005371,1342200000,1267.43005371
2001-05-03,1267.43005371,1239.88000488,1267.43005371,1248.57995605,1137900000,1248.57995605
2001-05-04,1267.51000977,1232.0,1248.57995605,1266.60998535,1082100000,1266.60998535
2001-05-07,1270.0,1259.18994141,1266.60998535,1263.51000977,949000000,1263.51000977
2001-05-08,1267.01000977,1253.0,1266.70996094,1261.19995117,1006300000,1261.19995117
2001-05-09,1261.65002441,1247.82995605,1261.19995117,1255.54003906,1132400000,1255.54003906
2001-05-10,1268.14001465,1254.56005859,1255.54003906,1255.18005371,1056700000,1255.18005371
2001-05-11,1259.83996582,1240.79003906,1255.18005371,1245.67004395,906200000,1245.67004395
2001-05-14,1249.68005371,1241.02001953,1245.67004395,1248.92004395,858200000,1248.92004395
2001-05-15,1257.44995117,1245.35998535,1248.92004395,1249.43994141,1071800000,1249.43994141
2001-05-16,1286.39001465,1243.02001953,1249.43994141,1284.98999023,1405300000,1284.98999023
2001-05-17,1296.47998047,1282.65002441,1284.98999023,1288.48999023,1355600000,1288.48999023
2001-05-18,1292.06005859,1281.15002441,1288.48999023,1291.95996094,1130800000,1291.95996094
2001-05-21,1312.94995117,1287.86999512,1291.95996094,1312.82995605,1174900000,1312.82995605
2001-05-22,1315.93005371,1306.89001465,1312.82995605,1309.38000488,1260400000,1309.38000488
2001-05-23,1309.38000488,1288.69995117,1309.38000488,1289.05004883,1134800000,1289.05004883
2001-05-24,1295.04003906,1281.2199707,1289.05004883,1293.17004395,1100700000,1293.17004395
2001-05-25,1293.17004395,1276.42004395,1293.17004395,1277.89001465,828100000,1277.89001465
2001-05-29,1278.42004395,1265.41003418,1277.89001465,1267.93005371,1026000000,1267.93005371
2001-05-30,1267.93005371,1245.95996094,1267.93005371,1248.07995605,1158600000,1248.07995605
2001-05-31,1261.91003418,1248.06994629,1248.07995605,1255.81994629,1226600000,1255.81994629
2001-06-01,1265.33996582,1246.88000488,1255.81994629,1260.67004395,1015000000,1260.67004395
2001-06-04,1267.17004395,1256.35998535,1260.67004395,1267.10998535,836500000,1267.10998535
2001-06-05,1286.61999512,1267.10998535,1267.10998535,1283.56994629,1116800000,1283.56994629
2001-06-06,1283.84997559,1269.01000977,1283.56994629,1270.0300293,1061900000,1270.0300293
2001-06-07,1277.07995605,1265.07995605,1270.0300293,1276.95996094,1089600000,1276.95996094
2001-06-08,1277.10998535,1259.98999023,1276.95996094,1264.95996094,726200000,1264.95996094
2001-06-11,1264.95996094,1249.22998047,1264.95996094,1254.39001465,870100000,1254.39001465
2001-06-12,1261.0,1235.75,1254.39001465,1255.84997559,1136500000,1255.84997559
2001-06-13,1259.75,1241.58996582,1255.84997559,1241.59997559,1063600000,1241.59997559
2001-06-14,1241.59997559,1218.90002441,1241.59997559,1219.86999512,1242900000,1219.86999512
2001-06-15,1221.5,1203.0300293,1219.86999512,1214.35998535,1635550000,1214.35998535
2001-06-18,1221.22998047,1208.32995605,1214.35998535,1208.43005371,1111600000,1208.43005371
2001-06-19,1226.10998535,1207.70996094,1208.43005371,1212.57995605,1184900000,1212.57995605
2001-06-20,1225.60998535,1210.06994629,1212.57995605,1223.14001465,1350100000,1223.14001465
2001-06-21,1240.23999023,1220.25,1223.14001465,1237.04003906,1546820000,1237.04003906
2001-06-22,1237.72998047,1221.41003418,1237.04003906,1225.34997559,1189200000,1225.34997559
2001-06-25,1231.5,1213.59997559,1225.34997559,1218.59997559,1050100000,1218.59997559
2001-06-26,1220.69995117,1204.64001465,1218.59997559,1216.76000977,1198900000,1216.76000977
2001-06-27,1219.92004395,1207.29003906,1216.76000977,1211.06994629,1162100000,1211.06994629
2001-06-28,1234.43994141,1211.06994629,1211.06994629,1226.19995117,1327300000,1226.19995117
2001-06-29,1237.29003906,1221.14001465,1226.19995117,1224.38000488,1832360000,1224.38000488
2001-07-02,1239.7800293,1224.0300293,1224.42004395,1236.7199707,1128300000,1236.7199707
2001-07-03,1236.70996094,1229.43005371,1236.70996094,1234.44995117,622110000,1234.44995117
2001-07-05,1234.44995117,1219.15002441,1234.44995117,1219.23999023,934900000,1219.23999023
2001-07-06,1219.23999023,1188.73999023,1219.23999023,1190.58996582,1056700000,1190.58996582
2001-07-09,1201.76000977,1189.75,1190.58996582,1198.7800293,1045700000,1198.7800293
2001-07-10,1203.43005371,1179.93005371,1198.7800293,1181.52001953,1263800000,1181.52001953
2001-07-11,1184.93005371,1168.45996094,1181.52001953,1180.18005371,1384100000,1180.18005371
2001-07-12,1210.25,1180.18005371,1180.18005371,1208.14001465,1394000000,1208.14001465
2001-07-13,1218.54003906,1203.60998535,1208.14001465,1215.68005371,1121700000,1215.68005371
2001-07-16,1219.63000488,1200.05004883,1215.68005371,1202.44995117,1039800000,1202.44995117
2001-07-17,1215.35998535,1196.14001465,1202.44995117,1214.43994141,1238100000,1214.43994141
2001-07-18,1214.43994141,1198.32995605,1214.43994141,1207.70996094,1316300000,1207.70996094
2001-07-19,1225.04003906,1205.80004883,1207.70996094,1215.02001953,1343500000,1215.02001953
2001-07-20,1215.68994141,1207.04003906,1215.02001953,1210.84997559,1170900000,1210.84997559
2001-07-23,1215.2199707,1190.5,1210.84997559,1191.0300293,986900000,1191.0300293
2001-07-24,1191.0300293,1165.54003906,1191.0300293,1171.65002441,1198700000,1171.65002441
2001-07-25,1190.52001953,1171.2800293,1171.65002441,1190.48999023,1280700000,1190.48999023
2001-07-26,1204.18005371,1182.65002441,1190.48999023,1202.93005371,1213900000,1202.93005371
2001-07-27,1209.26000977,1195.98999023,1202.93005371,1205.81994629,1015300000,1205.81994629
2001-07-30,1209.05004883,1200.41003418,1205.81994629,1204.52001953,909100000,1204.52001953
2001-07-31,1222.73999023,1204.52001953,1204.52001953,1211.22998047,1129200000,1211.22998047
2001-08-01,1223.04003906,1211.22998047,1211.22998047,1215.93005371,1340300000,1215.93005371
2001-08-02,1226.27001953,1215.31005859,1215.93005371,1220.75,1218300000,1220.75
2001-08-03,1220.75,1205.31005859,1220.75,1214.34997559,939900000,1214.34997559
2001-08-06,1214.34997559,1197.34997559,1214.34997559,1200.47998047,811700000,1200.47998047
2001-08-07,1207.56005859,1195.64001465,1200.4699707,1204.40002441,1012000000,1204.40002441
2001-08-08,1206.79003906,1181.27001953,1204.40002441,1183.5300293,1124600000,1183.5300293
2001-08-09,1184.70996094,1174.68005371,1183.5300293,1183.43005371,1104200000,1183.43005371
2001-08-10,1193.32995605,1169.55004883,1183.43005371,1190.16003418,960900000,1190.16003418
2001-08-13,1193.81994629,1185.11999512,1190.16003418,1191.29003906,837600000,1191.29003906
2001-08-14,1198.79003906,1184.26000977,1191.29003906,1186.72998047,964600000,1186.72998047
2001-08-15,1191.20996094,1177.60998535,1186.72998047,1178.02001953,1065600000,1178.02001953
2001-08-16,1181.80004883,1166.07995605,1178.02001953,1181.66003418,1055400000,1181.66003418
2001-08-17,1181.66003418,1156.06994629,1181.66003418,1161.9699707,974300000,1161.9699707
2001-08-20,1171.41003418,1160.93994141,1161.9699707,1171.41003418,897100000,1171.41003418
2001-08-21,1179.84997559,1156.56005859,1171.41003418,1157.26000977,1041600000,1157.26000977
2001-08-22,1168.56005859,1153.33996582,1157.26000977,1165.31005859,1110800000,1165.31005859
2001-08-23,1169.85998535,1160.95996094,1165.31005859,1162.08996582,986200000,1162.08996582
2001-08-24,1185.15002441,1162.08996582,1162.08996582,1184.93005371,1043600000,1184.93005371
2001-08-27,1186.84997559,1178.06994629,1184.93005371,1179.20996094,842600000,1179.20996094
2001-08-28,1179.66003418,1161.17004395,1179.20996094,1161.51000977,987100000,1161.51000977
2001-08-29,1166.9699707,1147.38000488,1161.51000977,1148.56005859,963700000,1148.56005859
2001-08-30,1151.75,1124.86999512,1148.59997559,1129.0300293,1157000000,1129.0300293
2001-08-31,1141.82995605,1126.38000488,1129.0300293,1133.57995605,920100000,1133.57995605
2001-09-04,1155.40002441,1129.06005859,1133.57995605,1132.93994141,1178300000,1132.93994141
2001-09-05,1135.52001953,1114.85998535,1132.93994141,1131.73999023,1384500000,1131.73999023
2001-09-06,1131.73999023,1105.82995605,1131.73999023,1106.40002441,1359700000,1106.40002441
2001-09-07,1106.40002441,1082.11999512,1106.40002441,1085.7800293,1424300000,1085.7800293
2001-09-10,1096.93994141,1073.15002441,1085.7800293,1092.54003906,1276600000,1092.54003906
2001-09-17,1092.54003906,1037.45996094,1092.54003906,1038.77001953,2330830000,1038.77001953
2001-09-18,1046.42004395,1029.25,1038.77001953,1032.73999023,1650410000,1032.73999023
2001-09-19,1038.91003418,984.619995117,1032.73999023,1016.09997559,2120550000,1016.09997559
2001-09-20,1016.09997559,984.489990234,1016.09997559,984.539978027,2004800000,984.539978027
2001-09-21,984.539978027,944.75,984.539978027,965.799987793,2317300000,965.799987793
2001-09-24,1008.44000244,965.799987793,965.799987793,1003.45001221,1746600000,1003.45001221
2001-09-25,1017.14001465,998.33001709,1003.45001221,1012.27001953,1613800000,1012.27001953
2001-09-26,1020.28997803,1002.61999512,1012.27001953,1007.03997803,1519100000,1007.03997803
2001-09-27,1018.91998291,998.239990234,1007.03997803,1018.60998535,1467000000,1018.60998535
2001-09-28,1040.93994141,1018.60998535,1018.60998535,1040.93994141,1631500000,1040.93994141
2001-10-01,1040.93994141,1026.76000977,1040.93994141,1038.55004883,1175600000,1038.55004883
2001-10-02,1051.32995605,1034.4699707,1038.55004883,1051.32995605,1289800000,1051.32995605
2001-10-03,1075.38000488,1041.47998047,1051.32995605,1072.2800293,1650600000,1072.2800293
2001-10-04,1084.11999512,1067.81994629,1072.2800293,1069.63000488,1609100000,1069.63000488
2001-10-05,1072.34997559,1053.5,1069.61999512,1071.38000488,1301700000,1071.38000488
2001-10-08,1071.36999512,1056.88000488,1071.36999512,1062.43994141,979000000,1062.43994141
2001-10-09,1063.36999512,1053.82995605,1062.43994141,1056.75,1227800000,1056.75
2001-10-10,1081.61999512,1052.76000977,1056.75,1080.98999023,1312400000,1080.98999023
2001-10-11,1099.16003418,1080.98999023,1080.98999023,1097.43005371,1704580000,1097.43005371
2001-10-12,1097.43005371,1072.15002441,1097.43005371,1091.65002441,1331400000,1091.65002441
2001-10-15,1091.65002441,1078.18994141,1091.65002441,1089.97998047,1024700000,1089.97998047
2001-10-16,1101.66003418,1087.13000488,1089.97998047,1097.54003906,1210500000,1097.54003906
2001-10-17,1107.11999512,1076.56994629,1097.54003906,1077.08996582,1452200000,1077.08996582
2001-10-18,1077.93994141,1064.54003906,1077.08996582,1068.60998535,1262900000,1068.60998535
2001-10-19,1075.52001953,1057.23999023,1068.60998535,1073.47998047,1294900000,1073.47998047
2001-10-22,1090.56994629,1070.79003906,1073.47998047,1089.90002441,1105700000,1089.90002441
2001-10-23,1098.98999023,1081.5300293,1089.90002441,1084.7800293,1317300000,1084.7800293
2001-10-24,1090.26000977,1079.97998047,1084.7800293,1085.19995117,1336200000,1085.19995117
